time_of_day,steps,temperature,wind_speed,genre/mood,music
Morning,6548,11.3,16.9,Chill,Zaroori Tha - Rahat Fateh Ali Khan
Morning,2992,34.6,4.0,Jazz,Afreen Afreen - Rahat Fateh Ali Khan
Afternoon,17245,17.3,10.1,Hip-Hop,Tum Hi Ho - Arijit Singh
Night,11585,15.2,16.1,Chill,Aadat - Jal Band
Morning,11767,7.5,9.7,Rock,Blinding Lights - The Weeknd
Afternoon,18467,30.1,12.8,Pop,Tera Ban Jaunga - Akhil Sachdeva
Afternoon,19445,36.8,7.2,Jazz,Blinding Lights - The Weeknd
Morning,18890,10.6,11.2,Hip-Hop,Someone Like You - Adele
Evening,10326,14.9,1.5,Jazz,Channa Mereya - Arijit Singh
Night,18661,3.7,21.5,Classical,Aadat - Jal Band
Afternoon,16020,26.0,5.0,Jazz,Channa Mereya - Arijit Singh
Night,12617,19.7,10.1,Jazz,Someone Like You - Adele
Morning,10051,20.1,27.1,Pop,Aadat - Jal Band
Night,11921,29.2,18.0,Rock,Channa Mereya - Arijit Singh
Evening,5599,9.3,0.4,Classical,Afreen Afreen - Rahat Fateh Ali Khan
Night,11946,14.9,2.1,Rock,Blinding Lights - The Weeknd
Night,19687,32.6,8.0,Jazz,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Evening,11049,22.5,15.7,Rock,Dil Dhadakne Ka Sabab - Shafqat Amanat Ali
Afternoon,13221,1.1,28.9,Pop,Zaroori Tha - Rahat Fateh Ali Khan
Afternoon,3587,5.8,5.1,Hip-Hop,Channa Mereya - Arijit Singh
Afternoon,2701,33.7,16.8,Jazz,Tera Ban Jaunga - Akhil Sachdeva
Morning,2368,23.6,6.5,Classical,Tum Hi Ho - Arijit Singh
Morning,5926,36.6,19.0,Chill,Drivers License - Olivia Rodrigo
Evening,7087,31.1,27.2,Classical,Kesariya - Arijit Singh
Morning,3292,8.0,23.4,Pop,Tera Ban Jaunga - Akhil Sachdeva
Evening,18520,11.4,2.6,Classical,Aadat - Jal Band
Afternoon,15240,12.9,7.9,Chill,Tera Ban Jaunga - Akhil Sachdeva
Evening,14768,38.4,10.9,Classical,Aadat - Jal Band
Night,15186,15.9,18.8,Chill,Tera Ban Jaunga - Akhil Sachdeva
